rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.029,0.714,0.055,0,0.067,0.787,0.87,0.826,0.39195
0.022,0.6,0.042,0,0.076,0.744,0.84,0.789,0.3703
0.039,0.273,0.068,0,0.089,0.806,0.846,0.825,0.377
0.065,0.333,0.108,0,0.058,0.826,0.878,0.851,0.3935
0.02,0.7,0.038,0,0.065,0.738,0.842,0.786,0.371
0.048,0.556,0.088,0,0.139,0.796,0.854,0.824,0.4052
0.042,0.4,0.075,0,0.079,0.783,0.869,0.824,0.3825
0.025,0.25,0.045,0,0.061,0.793,0.799,0.796,0.35335
0.004,0.5,0.008,0,0.02,0.729,0.829,0.775,0.3408
0.01,0.778,0.019,0,0.06,0.765,0.843,0.802,0.376
0.06089,0.50875,0.09881,0.00335,0.13364,0.7844,0.85235,0.81637,0.401855
